"Affected Versions","Created","Fixed Version","Key","Project"
"","2021-12-17T10:35:38","36","OPENJPA-2896","OpenJPA"
"35","2021-11-30T09:29:45","36","OPENJPA-2891","OpenJPA"
"35","2021-11-22T15:06:21","36","OPENJPA-2889","OpenJPA"
"35","2021-10-21T13:46:08","36","OPENJPA-2883","OpenJPA"
"","2021-10-12T22:04:20","36","OPENJPA-2882","OpenJPA"
"","2021-07-12T13:50:32","36","OPENJPA-2877","OpenJPA"
"31","2021-06-10T18:54:23","36","OPENJPA-2876","OpenJPA"
"34","2021-04-10T10:25:45","35","OPENJPA-2866","OpenJPA"
"34","2021-04-09T12:26:11","35","OPENJPA-2865","OpenJPA"
"34","2021-04-08T12:53:45","35","OPENJPA-2864","OpenJPA"
"34","2021-04-08T09:41:12","35","OPENJPA-2863","OpenJPA"
"34","2021-04-06T20:28:56","35","OPENJPA-2862","OpenJPA"
"34","2021-04-06T14:51:18","35","OPENJPA-2861","OpenJPA"
"34","2021-04-05T16:16:29","35","OPENJPA-2860","OpenJPA"
"34","2021-04-04T11:50:14","35","OPENJPA-2859","OpenJPA"
"34","2021-04-03T20:42:43","35","OPENJPA-2858","OpenJPA"
"34","2021-04-03T14:08:01","35","OPENJPA-2857","OpenJPA"
"34","2021-04-03T06:41:38","35","OPENJPA-2856","OpenJPA"
"34","2021-04-01T15:01:37","35","OPENJPA-2854","OpenJPA"
"34","2021-03-30T15:13:25","35","OPENJPA-2851","OpenJPA"
"34","2021-03-30T07:19:27","35","OPENJPA-2850","OpenJPA"
"34","2021-03-28T12:26:01","35","OPENJPA-2849","OpenJPA"
"34","2021-03-04T15:15:54","35","OPENJPA-2848","OpenJPA"
"34","2020-12-01T11:11:30","35","OPENJPA-2843","OpenJPA"
"34","2020-11-30T18:53:01","35","OPENJPA-2842","OpenJPA"
"33","2020-09-30T09:53:55","35","OPENJPA-2834","OpenJPA"
"","2020-09-28T15:50:25","35","OPENJPA-2832","OpenJPA"
"","2020-09-15T15:53:10","35","OPENJPA-2830","OpenJPA"
"","2020-09-15T14:57:05","35","OPENJPA-2829","OpenJPA"
"34","2020-09-15T09:58:35","35","OPENJPA-2828","OpenJPA"
"34","2020-07-23T11:53:56","35","OPENJPA-2821","OpenJPA"
"33","2020-04-22T02:13:52","34","OPENJPA-2810","OpenJPA"
"33","2020-02-28T10:01:17","34","OPENJPA-2807","OpenJPA"
"32","2019-12-18T07:31:13","33","OPENJPA-2799","OpenJPA"
"30,32","2019-08-29T09:45:43","35","OPENJPA-2795","OpenJPA"
"30","2019-06-18T16:33:58","35","OPENJPA-2789","OpenJPA"
"32","2019-04-18T07:46:06","35","OPENJPA-2788","OpenJPA"
"","2019-03-21T19:36:51","32","OPENJPA-2781","OpenJPA"
"29,30,31","2019-03-20T13:26:29","32","OPENJPA-2780","OpenJPA"
"31","2019-03-01T10:40:48","32","OPENJPA-2777","OpenJPA"
"31","2019-02-02T12:15:54","32","OPENJPA-2772","OpenJPA"
"31","2019-02-02T09:21:53","32","OPENJPA-2771","OpenJPA"
"29,30,31","2019-01-22T23:30:15","32","OPENJPA-2770","OpenJPA"
"31","2019-01-10T11:28:22","32","OPENJPA-2768","OpenJPA"
"31","2019-01-02T08:57:54","32","OPENJPA-2764","OpenJPA"
"23,30,31","2018-12-07T16:46:30","32","OPENJPA-2761","OpenJPA"
"31","2018-11-10T20:15:20","32","OPENJPA-2757","OpenJPA"
"31","2018-11-10T19:46:56","32","OPENJPA-2756","OpenJPA"
"","2018-08-16T05:23:46","32","OPENJPA-2746","OpenJPA"
"29","2018-07-12T15:19:47","33","OPENJPA-2743","OpenJPA"
"29","2018-04-09T00:34:55","32","OPENJPA-2733","OpenJPA"
"29","2018-01-03T13:45:05","30","OPENJPA-2725","OpenJPA"
"21","2017-07-14T15:41:06","30","OPENJPA-2705","OpenJPA"
"25","2017-07-07T13:20:03","32","OPENJPA-2704","OpenJPA"
"25","2017-05-01T22:41:02","30","OPENJPA-2698","OpenJPA"
"29","2017-03-09T18:02:29","30","OPENJPA-2690","OpenJPA"
"29,31","2017-02-27T10:07:10","30","OPENJPA-2689","OpenJPA"
"26,28","2016-12-15T14:25:07","29","OPENJPA-2684","OpenJPA"
"28","2016-10-20T07:49:18","29","OPENJPA-2675","OpenJPA"
"28","2016-10-18T11:48:15","29","OPENJPA-2674","OpenJPA"
"28","2016-10-10T16:42:39","29","OPENJPA-2672","OpenJPA"
"28","2016-08-21T13:06:43","29","OPENJPA-2658","OpenJPA"
"25,26,28","2016-08-08T21:13:08","29","OPENJPA-2651","OpenJPA"
"26,29","2016-07-15T03:23:37","29","OPENJPA-2650","OpenJPA"
"28","2016-07-01T09:19:58","35","OPENJPA-2648","OpenJPA"
"28","2016-06-21T17:20:03","30","OPENJPA-2646","OpenJPA"
"28","2016-04-12T13:21:49","29","OPENJPA-2640","OpenJPA"
"28","2016-03-04T13:42:04","29","OPENJPA-2632","OpenJPA"
"28","2016-02-11T23:28:57","29","OPENJPA-2631","OpenJPA"
"27","2016-01-29T10:36:04","28","OPENJPA-2626","OpenJPA"
"27","2015-11-27T12:10:54","28","OPENJPA-2617","OpenJPA"
"3,4,5,6,7,8,10,13,17,18,19,20,21,22,23,24,25,26,27","2015-11-23T15:31:01","28","OPENJPA-2616","OpenJPA"
"27","2015-11-17T14:11:47","36","OPENJPA-2614","OpenJPA"
"27","2015-10-05T21:56:59","28","OPENJPA-2609","OpenJPA"
"25,27","2015-08-11T18:36:24","28","OPENJPA-2605","OpenJPA"
"26,27","2015-07-20T18:20:43","28","OPENJPA-2601","OpenJPA"
"27","2015-06-29T19:29:02","28","OPENJPA-2600","OpenJPA"
"","2015-06-29T04:09:57","28","OPENJPA-2597","OpenJPA"
"27","2015-06-06T14:45:37","28","OPENJPA-2596","OpenJPA"
"25,28","2015-05-15T00:04:10","28","OPENJPA-2586","OpenJPA"
"27","2015-05-05T09:00:30","28","OPENJPA-2582","OpenJPA"
"26","2015-04-07T06:09:40","27","OPENJPA-2576","OpenJPA"
"27","2015-02-25T23:42:29","28","OPENJPA-2571","OpenJPA"
"26","2015-02-02T15:35:48","32","OPENJPA-2567","OpenJPA"
"25,26,27","2015-01-10T02:02:11","27","OPENJPA-2557","OpenJPA"
"25,26","2015-01-06T14:58:50","32","OPENJPA-2555","OpenJPA"
"25,26,27","2014-11-25T16:58:25","27","OPENJPA-2547","OpenJPA"
